,dummy,trail,region,date,description,condition,link
58,,Rimonim - Lilach,Kiryat Tivon,"Nov 17, 2020 @ 8:30pmNov 17, 2020",,Ideal,view
59,,Horshat Dgania,Hanita,"Nov 17, 2020 @ 8:05pmNov 17, 2020",,Variable,view
60,,Matzuva,Hanita,"Nov 17, 2020 @ 8:05pmNov 17, 2020",,Variable,view
61,,Forest Road,Kfar HaHoresh,"Nov 16, 2020 @ 8:19pmNov 16, 2020",,Ideal,view
62,,The Mad Cow,Kfar HaHoresh,"Nov 16, 2020 @ 8:19pmNov 16, 2020",,Ideal,view
63,,Green Mamba,Kfar HaHoresh,"Nov 16, 2020 @ 8:19pmNov 16, 2020",,Variable,view
64,,Caves,Kfar HaHoresh,"Nov 16, 2020 @ 8:19pmNov 16, 2020",,Ideal,view
65,,Mad Cow,Kfar HaHoresh,"Nov 16, 2020 @ 8:19pmNov 16, 2020",,Ideal,view
66,,Forest Road,Misgav,"Nov 15, 2020 @ 8:56pmNov 15, 2020",,Ideal,view
67,,Misgav KKL 08,Misgav,"Nov 15, 2020 @ 8:56pmNov 15, 2020",,Ideal,view
68,,Misgav KKL 06,Misgav,"Nov 15, 2020 @ 8:56pmNov 15, 2020",,Ideal,view
69,,Pine Kernel,Misgav,"Nov 15, 2020 @ 8:56pmNov 15, 2020",,Ideal,view
70,,Forest Road,Misgav,"Nov 15, 2020 @ 8:56pmNov 15, 2020",,Ideal,view
71,,Zohar,Misgav,"Nov 15, 2020 @ 8:56pmNov 15, 2020",,Ideal,view
72,,Donut,Misgav,"Nov 15, 2020 @ 8:56pmNov 15, 2020",,Ideal,view
73,,Dreamer 3,Misgav,"Nov 15, 2020 @ 8:56pmNov 15, 2020",,Ideal,view
74,,Rock Shelf,Ofer Forest,"Nov 14, 2020 @ 1:45amNov 14, 2020",,Dry,view
75,,Snail Hunting,Mishmar HaEmek,"Nov 12, 2020 @ 10:45pmNov 12, 2020",,Ideal,view
76,,Snail of a Rabit,Mishmar HaEmek,"Nov 12, 2020 @ 10:45pmNov 12, 2020",,Ideal,view
77,,Access trail,Mishmar HaEmek,"Nov 12, 2020 @ 10:45pmNov 12, 2020",,Ideal,view
78,,Pinky - The End,Mishmar HaEmek,"Nov 12, 2020 @ 10:45pmNov 12, 2020",,Ideal,view
79,,The Slit,The Forester's House,"Nov 12, 2020 @ 10:32pmNov 12, 2020",,Ideal,view
80,,Panorama,The Forester's House,"Nov 12, 2020 @ 10:32pmNov 12, 2020",,Ideal,view
81,,Eucalyptus,The Forester's House,"Nov 12, 2020 @ 10:32pmNov 12, 2020",,Ideal,view
82,,Raffael Itbalbel,The Forester's House,"Nov 12, 2020 @ 10:32pmNov 12, 2020",,Ideal,view
83,,Monsters,The Forester's House,"Nov 12, 2020 @ 10:32pmNov 12, 2020",,Ideal,view
84,,Agency,The Forester's House,"Nov 12, 2020 @ 10:32pmNov 12, 2020",,Ideal,view
85,,Mt. Tur'an,Lower Galillee,"Nov 12, 2020 @ 8:35pmNov 12, 2020",,Ideal,view
86,,Ahihud,Ahihud Forest,"Nov 10, 2020 @ 8:40pmNov 10, 2020",,Ideal,view
87,,Intelligents,Misgav,"Nov 8, 2020 @ 9:12pmNov 8, 2020",,Variable,view
88,,Forest Road,Misgav,"Nov 8, 2020 @ 9:12pmNov 8, 2020",,Variable,view
89,,Petra/ The Eagle,Mishmar HaEmek,"Nov 6, 2020 @ 9:16pmNov 6, 2020",,Ideal,view
90,,Forest Road,Mishmar HaEmek,"Nov 6, 2020 @ 9:16pmNov 6, 2020",,Ideal,view
91,,Pitel,Mishmar HaEmek,"Nov 6, 2020 @ 9:16pmNov 6, 2020",,Ideal,view
92,,Pinky,Mishmar HaEmek,"Nov 6, 2020 @ 9:16pmNov 6, 2020",,Ideal,view
93,,The Brain,Mishmar HaEmek,"Nov 6, 2020 @ 9:16pmNov 6, 2020",,Ideal,view
94,,Tom's climb,Mishmar HaEmek,"Nov 6, 2020 @ 9:16pmNov 6, 2020",,Ideal,view
95,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Nov 6, 2020 @ 9:16pmNov 6, 2020",,Ideal,view
96,,Yossi #2,Mishmar HaEmek,"Nov 6, 2020 @ 9:16pmNov 6, 2020",,Ideal,view
97,,Treasure Island,The Forester's House,"Nov 6, 2020 @ 6:26amNov 6, 2020",,Wet,view
98,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Nov 5, 2020 @ 10:28pmNov 5, 2020",,Ideal,view
99,,Carmel Coast - Kerem Maharal to Zeitim,Ofer Forest,"Nov 5, 2020 @ 10:28pmNov 5, 2020",,Ideal,view
100,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Nov 5, 2020 @ 10:28pmNov 5, 2020",,Ideal,view
101,,Carmel Coast  - Furadis Bat Shlomo,Ofer Forest,"Nov 5, 2020 @ 10:28pmNov 5, 2020",,Ideal,view
102,,Connector,Ofer Forest,"Nov 5, 2020 @ 10:28pmNov 5, 2020",,Ideal,view
103,,Forest Road,Mishmar HaEmek,"Nov 5, 2020 @ 8:32pmNov 5, 2020",reporter,Wet,view
104,,Petra/ The Eagle,Mishmar HaEmek,"Nov 5, 2020 @ 8:32pmNov 5, 2020",reporter,Wet,view
105,,Force feeder,Mishmar HaEmek,"Nov 5, 2020 @ 8:32pmNov 5, 2020",reporter,Wet,view
106,,Raymond,Mishmar HaEmek,"Nov 5, 2020 @ 8:32pmNov 5, 2020",reporter,Prevalent Mud,view
107,,Horshat Dgania,Hanita,"Nov 3, 2020 @ 6:00amNov 3, 2020",,Ideal,view
108,,Carmel Coast - Kerem Maharal to Zeitim,Ofer Forest,"Oct 29, 2020 @ 11:18pmOct 29, 2020",,Very Dry,view
109,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Oct 29, 2020 @ 11:18pmOct 29, 2020",,Very Dry,view
110,,Kerem Maharal Loop,Ofer Forest,"Oct 29, 2020 @ 11:18pmOct 29, 2020",,Very Dry,view
111,,Connector,Ofer Forest,"Oct 29, 2020 @ 11:18pmOct 29, 2020",,Very Dry,view
112,,Snail of a Rabit,Mishmar HaEmek,"Oct 29, 2020 @ 11:09pmOct 29, 2020",,Very Dry,view
113,,Petra/ The Eagle,Mishmar HaEmek,"Oct 29, 2020 @ 11:09pmOct 29, 2020",,Very Dry,view
114,,Raymond,Mishmar HaEmek,"Oct 29, 2020 @ 11:09pmOct 29, 2020",,Very Dry,view
115,,Alon HaGalil,Alon HaGalil,"Oct 29, 2020 @ 10:21pmOct 29, 2020",,Dry,view
116,,Hanaton,Alon HaGalil,"Oct 29, 2020 @ 10:21pmOct 29, 2020",,Dry,view
117,,Hanaton,Alon HaGalil,"Oct 29, 2020 @ 10:21pmOct 29, 2020",,Dry,view
118,,Hanaton,Alon HaGalil,"Oct 29, 2020 @ 10:21pmOct 29, 2020",,Dry,view
119,,Hanaton,Alon HaGalil,"Oct 29, 2020 @ 10:21pmOct 29, 2020",,Dry,view
120,,Hanaton,Alon HaGalil,"Oct 29, 2020 @ 10:21pmOct 29, 2020",,Dry,view
121,,Alon HaGalil - Reish LaKish,Alon HaGalil,"Oct 29, 2020 @ 10:21pmOct 29, 2020",,Dry,view
122,,Sewerage system,The Forester's House,"Oct 28, 2020 @ 12:12amOct 28, 2020",,Dry,view
123,,Misgav KKL 08,Misgav,"Oct 25, 2020 @ 9:32pmOct 25, 2020",,Very Dry,view
124,,Cappuccino & Zuta,Misgav,"Oct 25, 2020 @ 9:32pmOct 25, 2020",,Very Dry,view
125,,Pine Kernel,Misgav,"Oct 25, 2020 @ 9:32pmOct 25, 2020",,Very Dry,view
126,,Eliot,Misgav,"Oct 25, 2020 @ 9:32pmOct 25, 2020",,Very Dry,view
127,,Ivgy,Kiryat Tivon,"Oct 24, 2020 @ 6:02amOct 24, 2020",Trail cleared and renewed  reporter 2 hours 3 attendees,Dry,view
128,,Monsters - Warmup,The Forester's House,"Oct 24, 2020 @ 1:39amOct 24, 2020",,Dry,view
129,,Monsters Warmup Loop,The Forester's House,"Oct 24, 2020 @ 1:39amOct 24, 2020",,Dry,view
130,,Gilboa,Jezreel Valley,"Oct 19, 2020 @ 10:21amOct 19, 2020",,Very Dry,view
131,,Gilboa Peaks,Jezreel Valley,"Oct 19, 2020 @ 10:20amOct 19, 2020",,Very Dry,view
132,,Bera'le,Mishmar HaEmek,"Oct 17, 2020 @ 5:42amOct 17, 2020",,Very Dry,view
133,,Forest Road,Mishmar HaEmek,"Oct 17, 2020 @ 5:42amOct 17, 2020",,Ideal,view
134,,Discovery,Kiryat Tivon,"Oct 15, 2020 @ 10:51pmOct 15, 2020",Trail maintenance - clearing & marking  reporter 1.5 hours 1 attendees,Dry,view
135,,Manege Jumps,Kiryat Tivon,"Oct 15, 2020 @ 10:51pmOct 15, 2020",reporter,Dry,view
136,,Iron Safe,Kiryat Tivon,"Oct 15, 2020 @ 10:51pmOct 15, 2020",reporter,Dry,view
137,,Hanaton,Alon HaGalil,"Oct 15, 2020 @ 8:27pmOct 15, 2020",,Very Dry,view
138,,Hanaton,Alon HaGalil,"Oct 15, 2020 @ 8:27pmOct 15, 2020",,Very Dry,view
139,,Hanaton,Alon HaGalil,"Oct 15, 2020 @ 8:27pmOct 15, 2020",,Very Dry,view
140,,Hanaton,Alon HaGalil,"Oct 15, 2020 @ 8:27pmOct 15, 2020",,Very Dry,view
141,,Bat Shlomo,Carmel Mountain,"Oct 10, 2020 @ 1:33pmOct 10, 2020",,Dry,view
142,,Goat Hill,Carmel Mountain,"Oct 9, 2020 @ 7:48pmOct 9, 2020",,Dry,view
143,,The Summit,Haifa,"Oct 9, 2020 @ 7:48pmOct 9, 2020",,Dry,view
144,,Extension Connector,Alon HaGalil,"Oct 8, 2020 @ 10:44pmOct 8, 2020",,Dry,view
145,,Pine View,Mt. Carmel National Park,"Oct 8, 2020 @ 8:40pmOct 8, 2020",,Dry,view
146,,To Harakafot parking,The Forester's House,"Oct 8, 2020 @ 8:40pmOct 8, 2020",,Very Dry,view
147,,Short Finale,Mt. Carmel National Park,"Oct 8, 2020 @ 8:40pmOct 8, 2020",,Dry,view
148,,Ivgy,Kiryat Tivon,"Sep 22, 2020 @ 6:16amSep 22, 2020",Overgrown vegetation reporter,Very Dry,view
149,,Afterne,Kiryat Tivon,"Sep 22, 2020 @ 6:07amSep 22, 2020","New trail, not allways clear, need more workTrail section braided (multiple alt lines) reporter",Very Dry,view
150,,Green Oak,Kiryat Tivon,"Sep 21, 2020 @ 8:34pmSep 21, 2020",reporter,Dry,view
151,,טיילת הגשרים,Mt. Carmel National Park,"Sep 20, 2020 @ 11:05amSep 20, 2020",,Dry,view
152,,The Tower,Ma'anit,"Sep 17, 2020 @ 9:17pmSep 17, 2020",,Dry,view
153,,The Oaks,Ma'anit,"Sep 17, 2020 @ 9:17pmSep 17, 2020",,Dry,view
154,,Maya,Ma'anit,"Sep 17, 2020 @ 9:17pmSep 17, 2020",,Dry,view
155,,Anti Corona,Ma'anit,"Sep 17, 2020 @ 9:17pmSep 17, 2020",,Dry,view
156,,Oz,Ma'anit,"Sep 17, 2020 @ 9:17pmSep 17, 2020",,Dry,view
157,,Shooting Range,Ma'anit,"Sep 17, 2020 @ 9:17pmSep 17, 2020",,Dry,view
158,,Cymbals,Kfar HaHoresh,"Sep 17, 2020 @ 9:13pmSep 17, 2020",E-Bike,Very Dry,view
159,,The Mad Cow,Kfar HaHoresh,"Sep 17, 2020 @ 9:13pmSep 17, 2020",E-Bike,Very Dry,view
160,,The Raging Bull,Kfar HaHoresh,"Sep 17, 2020 @ 9:13pmSep 17, 2020",E-Bike,Very Dry,view
161,,Green Mamba,Kfar HaHoresh,"Sep 17, 2020 @ 9:13pmSep 17, 2020",E-Bike,Very Dry,view
162,,Mad Cow,Kfar HaHoresh,"Sep 17, 2020 @ 9:13pmSep 17, 2020",E-Bike,Very Dry,view
163,,Snail of a Rabit,Mishmar HaEmek,"Sep 11, 2020 @ 9:09pmSep 11, 2020",,Very Dry,view
164,,Butterflies,Mishmar HaEmek,"Sep 11, 2020 @ 9:09pmSep 11, 2020",,Very Dry,view
165,,Pitel,Mishmar HaEmek,"Sep 11, 2020 @ 9:09pmSep 11, 2020",,Very Dry,view
166,,Pinky,Mishmar HaEmek,"Sep 11, 2020 @ 9:09pmSep 11, 2020",,Very Dry,view
167,,The Brain,Mishmar HaEmek,"Sep 11, 2020 @ 9:09pmSep 11, 2020",,Very Dry,view
168,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Sep 11, 2020 @ 9:09pmSep 11, 2020",,Very Dry,view
169,,Yossi #2,Mishmar HaEmek,"Sep 11, 2020 @ 9:09pmSep 11, 2020",,Very Dry,view
170,,Forest Road,Horeshan,"Sep 10, 2020 @ 8:04pmSep 10, 2020",,Very Dry,view
171,,Altneuland,Misgav,"Sep 8, 2020 @ 4:49amSep 8, 2020",,Very Dry,view
172,,Be'orot,Misgav,"Sep 1, 2020 @ 8:27pmSep 1, 2020",,Very Dry,view
173,,The Orange,Horeshan,"Aug 31, 2020 @ 8:44pmAug 31, 2020",E-Bike,Very Dry,view
174,,Cyprus,Horeshan,"Aug 31, 2020 @ 8:44pmAug 31, 2020",E-Bike,Very Dry,view
175,,Cyprus Liar switch,Horeshan,"Aug 31, 2020 @ 8:44pmAug 31, 2020",E-Bike,Very Dry,view
176,,Orange Connection,Horeshan,"Aug 31, 2020 @ 8:44pmAug 31, 2020",E-Bike,Very Dry,view
177,,The Summit,Haifa,"Aug 29, 2020 @ 11:56amAug 29, 2020",1 attendees,Dry,view
178,,Across The Hill,Horeshan,"Aug 29, 2020 @ 6:42amAug 29, 2020",,Variable,view
179,,Mt. Tur'an,Lower Galillee,"Aug 28, 2020 @ 9:25pmAug 28, 2020",,Dry,view
180,,Forest Road,Horeshan,"Aug 27, 2020 @ 7:44pmAug 27, 2020",,Very Dry,view
181,,Forest Road,Horeshan,"Aug 27, 2020 @ 7:44pmAug 27, 2020",,Very Dry,view
182,,Carmel Coast - Kerem Maharal to Zeitim,Ofer Forest,"Aug 22, 2020 @ 10:26pmAug 22, 2020",,Very Dry,view
183,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Aug 22, 2020 @ 10:26pmAug 22, 2020","There is a fallen tree, but it can be passed with the bike.",Very Dry,view
184,,Kerem Maharal Loop,Ofer Forest,"Aug 22, 2020 @ 10:26pmAug 22, 2020",,Very Dry,view
185,,Connector,Ofer Forest,"Aug 22, 2020 @ 10:26pmAug 22, 2020",,Very Dry,view
186,,Vultures Lookout,Mt. Carmel National Park,"Aug 20, 2020 @ 8:08pmAug 20, 2020",reporter,Dry,view
187,,Nahal Kelah,Mt. Carmel National Park,"Aug 20, 2020 @ 8:08pmAug 20, 2020",reporter,Dry,view
188,,Pensioners,Mt. Carmel National Park,"Aug 20, 2020 @ 8:08pmAug 20, 2020",reporter,Very Dry,view
189,,Forest Road,Horeshan,"Aug 20, 2020 @ 7:32pmAug 20, 2020",,Very Dry,view
190,,Forest Road (HaNasham),Horeshan,"Aug 20, 2020 @ 7:32pmAug 20, 2020",,Very Dry,view
191,,Zeevik The Fox,Mishmar HaEmek,"Aug 14, 2020 @ 10:30pmAug 14, 2020",E-Bike,Very Dry,view
192,,Snail of a Rabit,Mishmar HaEmek,"Aug 14, 2020 @ 10:30pmAug 14, 2020",E-Bike,Very Dry,view
193,,Petra/ The Eagle,Mishmar HaEmek,"Aug 14, 2020 @ 10:30pmAug 14, 2020",E-Bike,Very Dry,view
194,,Pitel,Mishmar HaEmek,"Aug 14, 2020 @ 10:30pmAug 14, 2020",E-Bike,Very Dry,view
195,,Pinky,Mishmar HaEmek,"Aug 14, 2020 @ 10:30pmAug 14, 2020",E-Bike,Very Dry,view
196,,Yossi #2,Mishmar HaEmek,"Aug 14, 2020 @ 10:30pmAug 14, 2020",E-Bike,Very Dry,view
197,,Dan7,Mishmar HaEmek,"Aug 14, 2020 @ 10:30pmAug 14, 2020",E-Bike,Very Dry,view
198,,Tal El 1,Ahihud Forest,"Aug 12, 2020 @ 10:16pmAug 12, 2020",,Dry,view
199,,Ahihud,Ahihud Forest,"Aug 12, 2020 @ 10:16pmAug 12, 2020",,Dry,view
200,,To the Vultures Cage,Ramat Ha'anadiv,"Aug 11, 2020 @ 7:33pmAug 11, 2020",,Very Dry,view
201,,mini downhill,Ramat Ha'anadiv,"Aug 11, 2020 @ 7:33pmAug 11, 2020",,Very Dry,view
202,,Sharon Chen,Kiryat Tivon,"Aug 10, 2020 @ 8:12pmAug 10, 2020",reporter,Dry,view
203,,Manege Jumps,Kiryat Tivon,"Aug 10, 2020 @ 8:12pmAug 10, 2020",reporter,Dry,view
204,,Bench to Green Gate,Kiryat Tivon,"Aug 10, 2020 @ 8:12pmAug 10, 2020",reporter,Dry,view
205,,Rancho,Kiryat Tivon,"Aug 10, 2020 @ 8:12pmAug 10, 2020",reporter,Dry,view
206,,Zvika,Kiryat Tivon,"Aug 10, 2020 @ 8:12pmAug 10, 2020",reporter,Dry,view
207,,Swimming pool Connector,Kiryat Tivon,"Aug 10, 2020 @ 8:12pmAug 10, 2020",reporter,Very Dry,view
208,,Bat Shlomo,Carmel Mountain,"Aug 6, 2020 @ 10:36pmAug 6, 2020",,Dry,view
209,,Bat Shlomo,Carmel Mountain,"Aug 6, 2020 @ 10:36pmAug 6, 2020",,Dry,view
210,,Bat Shlomo Entry,Ofer Forest,"Aug 6, 2020 @ 10:36pmAug 6, 2020",,Dry,view
211,,Bat Shlomo Entry,Ofer Forest,"Aug 6, 2020 @ 10:36pmAug 6, 2020",,Dry,view
212,,Altneuland,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
213,,Flat Tyre,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
214,,Zohar,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
215,,Be'orot,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
216,,Mini Enduro,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
217,,Aurora,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
218,,Kabush,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
219,,Roots,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
220,,Lazy,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
221,,Dreamer 3,Misgav,"Aug 6, 2020 @ 9:19pmAug 6, 2020",E-Bike,Very Dry,view
222,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
223,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
224,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
225,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
226,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
227,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
228,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
229,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
230,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
231,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
232,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
233,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
234,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
235,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
236,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
237,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
238,,HaZore'a North / Yellow singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
239,,HaZore'a South / Blue singletrack,Ramot Menashe,"Aug 6, 2020 @ 9:15pmAug 6, 2020",,Dry,view
