Name,Photo,District,Firstsettlement,"Populationestimate,2019[6]","Populationcensus,2008[7]","Change,2008––2019","Area,km2[8]","Density,per km2[9]",Socio-economicindex[10]
Rahat,,South,1972,"71,437","50,000",+42.87%,19.6,"3,283.9",−1.848
Ramat Gan,,Tel Aviv,1921,"163,480","143,600",+13.84%,13.2,"9,376.1",1.041
Ramat HaSharon,,Tel Aviv,1923,"47,245","39,000",+21.14%,16.8,"2,708.3",1.796
Ramla,,Center,8th century,"76,246","65,700",+16.05%,11.9,"6,252.2",−0.333
Rehovot,,Center,1890,"143,904","111,100",+29.53%,23.0,"5,712.4",0.629
Rishon LeZion[cbs 32],,Center,1882,"254,384","226,800",+12.16%,58.7,"4,212.6",0.886
Rosh HaAyin,,Center,1949,"61,801","37,900",+63.06%,24.4,"2,868.0",0.578
Safed[cbs 33],,North,Bronze Age,"36,094","29,600",+21.94%,29.2,"1,123.5",−1.011
Sakhnin,,North,Bronze Age,"31,702","25,100",+26.30%,9.8,"3,062.2",−0.740
Sderot[cbs 34],,South,1951,"27,635","20,700",+33.50%,4.5,"3,788.0",−0.223
Shefa-'Amr[cbs 35],,North,Bronze Age,"42,137","35,700",+18.03%,19.8,"2,065.0",−0.784
Tamra,,North,N/A,"34,392","28,100",+22.39%,29.3,"1,118.1",−0.983
Tayibe,,Center,N/A,"43,957","35,700",+23.13%,18.7,"2,198.7",−0.878
Tel Aviv-Yafo,,Tel Aviv,Bronze Age(Jaffa) 1887(Neve Tzedek),"460,613","402,600",+14.41%,51.8,"8,473.0",1.221
Tiberias,,North,20,"44,779","41,600",+7.64%,10.9,"2,663.5",−0.379
Tira[cbs 36],,Center,N/A,"26,552","22,200",+19.60%,11.9,"2,128.7",−0.469
Tirat Carmel[cbs 37],,Haifa,N/A,"23,112","18,600",+24.26%,5.6,"3,425.4",−0.138
Umm al-Fahm,,Haifa,N/A,"56,109","45,000",+24.69%,22.3,"2,053.4",−1.294
Yavne,,Center,Bronze Age,"47,585","32,800",+45.08%,10.7,"2,690.9",0.455
Yehud-Monosson,,Center,N/A,"29,928","26,200",+14.23%,5.0,"5,862.3",1.034
Yokneam Illit[cbs 38],,North,1950,"23,796","19,000",+25.24%,7.4,"2,649.1",0.800
