שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,pop,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,coords,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,name,אשכול רשויות מקומיות,lon,lat,lonlat,distance,duration,g_orig,g_dest,crow_dist,mode,speed,ratio
אבנת,3786,AVENAT,7,אזור יהודה ושומרון,75,ירדן-יריחו,,74.0,מועצה אזורית מגילות ים המלח,,1.0,260.0,260.0,260.0,0.0,1983,370,,2414762075.0,-351.0,713.0,10003314.0,2021,Avenat,710.0,35.43659830966964,31.67902121643838,"31.6790,35.4366",196476,11544,"Hof HaCarmel Regional Council, Israel","MCHP+JQ8, Avnat",131353.8963364284,transit,40.96275353526874,0.668549320713107
אבשלום,1311,AVSHALOM,6,הדרום,62,באר שבע,622.0,38.0,מועצה אזורית אשכול,,1.0,345.0,345.0,261.0,0.0,1990,370,10.0,1361956745.0,92.0,651.0,10001893.0,2021,Avshalom,620.0,34.33081910703709,31.195560441974063,"31.1956,34.3308",202621,13752,"Hof HaCarmel Regional Council, Israel","39, Avshalom, Israel",189876.02960333362,transit,49.70576691186744,0.9370994595986281
אדורה,3759,ADORA,7,אזור יהודה ושומרון,77,חברון,,78.0,מועצה אזורית הר חברון,,1.0,474.0,474.0,467.0,0.0,1984,370,9.0,2016960665.0,637.0,715.0,15003512.0,2021,Adora,710.0,35.017330162351364,31.551932888124973,"31.5519,35.0173",193801,11075,"Hof HaCarmel Regional Council, Israel","H229+V3J, Adora",139170.61566403782,transit,45.238303963028095,0.7181109264866425
אדירים,113,ADDIRIM,2,הצפון,23,יזרעאל,234.0,8.0,מועצה אזורית הגלבוע,,1.0,278.0,278.0,275.0,0.0,1956,310,1.0,2257871719.0,71.0,204.0,10004394.0,2021,Addirim,213.0,35.27176653185158,32.54890391163607,"32.5489,35.2718",72067,6140,"Hof HaCarmel Regional Council, Israel","Har Tavor St 28, Adirim, Israel",37521.4303472486,transit,21.999535708484522,0.5206464865645662
אדמית,1068,ADAMIT,2,הצפון,24,עכו,244.0,4.0,מועצה אזורית מטה אשר,,1.0,265.0,265.0,231.0,0.0,1958,330,15.0,2198477600.0,448.0,201.0,10004302.0,2021,Adamit,212.0,35.20855045484831,33.07920748641071,"33.0792,35.2086",75683,10378,"Hof HaCarmel Regional Council, Israel","3, Adamit, Israel",35885.473084141566,transit,12.448227317682562,0.47415500289551904
אדרת,1123,ADDERET,1,ירושלים,11,ירושלים,112.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,922.0,922.0,920.0,0.0,1961,310,1.0,1995861868.0,429.0,151.0,15000597.0,2021,Adderet,,34.994865488102434,31.66039213016086,"31.6604,34.9949",178685,14338,"Hof HaCarmel Regional Council, Israel","108, Aderet, Israel",127114.73992732957,transit,31.916101530086937,0.7113900994897702
אודם,4010,ODEM,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,176.0,176.0,165.0,0.0,1976,320,6.0,2702878880.0,1049.0,219.0,10004579.0,2021,Odem,211.0,35.74946463137253,33.193424942371855,"33.1934,35.7495",156040,12107,"Hof HaCarmel Regional Council, Israel","Odem/Center, Odem",81562.97479829333,transit,24.252639735182623,0.5227055549749637
אוהד,1046,OHAD,6,הדרום,62,באר שבע,622.0,38.0,מועצה אזורית אשכול,,1.0,412.0,394.0,392.0,18.0,1969,310,1.0,1458057199.0,131.0,651.0,10001893.0,2021,Ohad,620.0,34.431304805030216,31.237148839644824,"31.2371,34.4313",202529,14600,"Hof HaCarmel Regional Council, Israel","7, Ohad, Israel",182477.09964378658,transit,44.99435333682409,0.9009924487050575
אומן,1108,OMEN,2,הצפון,23,יזרעאל,234.0,8.0,מועצה אזורית הגלבוע,,1.0,559.0,559.0,524.0,0.0,1958,350,,2230271879.0,65.0,204.0,10004394.0,2021,Omen,213.0,35.24238809952841,32.563343898307814,"32.5633,35.2424",80188,7030,"Hof HaCarmel Regional Council, Israel","125, Merkaz Omen, Israel",34519.315077654785,transit,17.67703190320871,0.43047981091503446
אומץ,680,OMEZ,4,המרכז,41,השרון,412.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,824.0,823.0,805.0,1.0,1949,310,1.0,1996769744.0,33.0,409.0,15000060.0,2021,Omez,,34.99419932898191,32.37065234145469,"32.3707,34.9942",49553,6613,"Hof HaCarmel Regional Council, Israel","Khurshat ha-Euqaliptus St 9, Ometz, Israel",48149.86369750022,transit,26.211932452895933,0.9716841300728558
אור הגנוז,1294,OR HAGANUZ,2,הצפון,21,צפת,212.0,2.0,מועצה אזורית מרום הגליל,,1.0,600.0,600.0,600.0,0.0,1989,320,11.0,2421276783.0,731.0,209.0,10004528.0,2021,Or HaGanuz,211.0,35.446966157030275,33.005306299826664,"33.0053,35.4470",101444,10232,"Hof HaCarmel Regional Council, Israel","132, Or HaGanuz, Israel",46667.10919387859,transit,16.419233101833747,0.4600282835246894
אור הנר,67,OR HANER,6,הדרום,61,אשקלון,614.0,37.0,מועצה אזורית שער הנגב,,1.0,808.0,808.0,787.0,0.0,1957,330,15.0,1620260736.0,55.0,651.0,10001829.0,2021,Or HaNer,620.0,34.59950742173667,31.5570421225059,"31.5570,34.5995",153380,12756,"Hof HaCarmel Regional Council, Israel","קיבוץ אור הנר, Or HaNer, Israel",143849.4602923111,transit,40.597213629062395,0.9378632174488922
אורות,2012,OROT,6,הדרום,61,אשקלון,611.0,33.0,מועצה אזורית באר טוביה,143.0,1.0,472.0,472.0,467.0,0.0,1952,310,1.0,1749262782.0,51.0,616.0,10001821.0,2021,Orot,420.0,34.73444144532958,31.742126890478204,"31.7421,34.7344",141297,11880,"Hof HaCarmel Regional Council, Israel","HaCharuv St 18, Orot, Israel",120802.72283547682,transit,36.606885707720245,0.8549560347033328
אורטל,4013,ORTAL,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,369.0,369.0,369.0,0.0,1978,330,15.0,2712077699.0,885.0,219.0,10004579.0,2021,Ortal,211.0,35.75866038797472,33.08690197884615,"33.0869,35.7587",130529,8889,"Hof HaCarmel Regional Council, Israel","Ortal, Ortal",76751.85145970855,transit,31.08411128979084,0.5880061247669754
אורים,403,URIM,6,הדרום,62,באר שבע,622.0,38.0,מועצה אזורית אשכול,,1.0,504.0,503.0,476.0,1.0,1946,330,15.0,1545457936.0,95.0,651.0,10001893.0,2021,Urim,620.0,34.52256071916154,31.30413390089778,"31.3041,34.5226",185624,14775,"Hof HaCarmel Regional Council, Israel","Urim Center, Urim, Israel",172901.13745495738,transit,42.128195928111445,0.9314589571119972
אושה,278,USHA,3,חיפה,31,חיפה,311.0,12.0,מועצה אזורית זבולון,222.0,1.0,589.0,589.0,574.0,0.0,1937,330,15.0,2110474462.0,31.0,301.0,10004207.0,2021,Usha,310.0,35.11458905931691,32.796229707095165,"32.7962,35.1146",36932,6115,"Hof HaCarmel Regional Council, Israel","Unnamed Road, Usha, Israel",9933.092291515624,transit,5.847773057965045,0.26895625180102956
אחווה,1157,AHAWA,6,הדרום,61,אשקלון,611.0,33.0,מועצה אזורית באר טוביה,143.0,1.0,279.0,279.0,272.0,0.0,1976,350,,1782162796.0,61.0,616.0,10001821.0,2021,Ahawa,420.0,34.76915457038769,31.743512740094182,"31.7435,34.7692",152003,10629,"Hof HaCarmel Regional Council, Israel","11, Ahva, Israel",119997.15194322499,transit,40.642557813116,0.7894393659547837
אחוזם,821,AHUZZAM,6,הדרום,61,אשקלון,612.0,50.0,מועצה אזורית לכיש,,1.0,551.0,548.0,529.0,3.0,1950,310,2.0,1782260687.0,169.0,634.0,10001813.0,2021,Ahuzzam,,34.77014518876268,31.55331644814315,"31.5533,34.7701",178343,12559,"Hof HaCarmel Regional Council, Israel","7, Ahuzam, Israel",140815.09142470954,transit,40.36422717803602,0.7895745357244721
אחיהוד,785,AHIHUD,2,הצפון,24,עכו,246.0,4.0,מועצה אזורית מטה אשר,241.0,1.0,916.0,916.0,908.0,0.0,1950,310,1.0,2165275698.0,47.0,201.0,10004315.0,2021,Ahihud,212.0,35.17305400073124,32.907706554334865,"32.9077,35.1731",49855,6271,"Hof HaCarmel Regional Council, Israel","93, Ahihud, Israel",19236.24203429459,transit,11.042971029095922,0.3858437876701352
איבים,338,IBBIM,6,הדרום,61,אשקלון,614.0,37.0,מועצה אזורית שער הנגב,,1.0,721.0,721.0,227.0,0.0,1991,340,,1629760477.0,84.0,651.0,10001829.0,2021,Ibbim,620.0,34.609660720501154,31.533731795769107,"31.5337,34.6097",149668,11860,"Hof HaCarmel Regional Council, Israel","17 כפר, Ibim, Israel",146101.23268632172,transit,44.34776034323425,0.9761688048635762
אייל,716,EYAL,4,המרכז,42,פתח תקווה,421.0,20.0,מועצה אזורית דרום השרון,141.0,1.0,549.0,549.0,539.0,0.0,1949,330,15.0,1982667982.0,76.0,417.0,10004769.0,2021,Eyal,410.0,34.97960972473266,32.21173618521521,"32.2117,34.9796",71857,5922,"Hof HaCarmel Regional Council, Israel","Eyal A, Eyal, Israel",65857.842836093,transit,40.035162818293614,0.9165125573861002
אילות,1126,ELOT,6,הדרום,62,באר שבע,625.0,53.0,מועצה אזורית חבל אילות,,1.0,362.0,358.0,325.0,4.0,1962,330,15.0,1960438820.0,70.0,608.0,10001955.0,2021,Elot,610.0,34.962759401945064,29.581407919840224,"29.5814,34.9628",418130,25966,"Hof HaCarmel Regional Council, Israel","39, Eilat, 88000, Israel",358307.2034876814,transit,49.676728512503004,0.8569277580840442
אילנייה,49,ILANIYYA,2,הצפון,22,כנרת,222.0,3.0,מועצה אזורית הגליל התחתון,,1.0,485.0,480.0,462.0,5.0,1902,310,10.0,2384773998.0,236.0,206.0,10004552.0,2021,Ilaniyya,214.0,35.40733458957543,32.75425881749601,"32.7543,35.4073",82718,6375,"Hof HaCarmel Regional Council, Israel","365, Ilaniya, Israel",37670.98044161963,transit,21.2730242493852,0.45541454630938405
אירוס,1336,IRUS,4,המרכז,44,רחובות,442.0,27.0,מועצה אזורית גן רווה,143.0,1.0,830.0,830.0,818.0,0.0,2013,370,,1790064853.0,46.0,456.0,15002488.0,2021,Irus,,34.77663661444968,31.929042764201284,"31.9290,34.7766",96710,9503,"Hof HaCarmel Regional Council, Israel","הכורכר 16, אירוס, Israel",99647.55290463,transit,37.74925712476776,1.0303748620063076
איתן,37,ETAN,6,הדרום,61,אשקלון,612.0,34.0,מועצה אזורית שפיר,,1.0,520.0,520.0,518.0,0.0,1955,310,2.0,1761460898.0,156.0,631.0,10001813.0,2021,Etan,,34.74814686493171,31.572269058432735,"31.5723,34.7481",169764,12648,"Hof HaCarmel Regional Council, Israel","22, Eitan, Israel",139084.5479444419,transit,39.58763224225102,0.81928175552203
אל -עזי,1339,AL-AZY,6,הדרום,61,אשקלון,611.0,35.0,מועצה אזורית יואב,,2.0,196.0,2.0,2.0,194.0,,450,,1809962556.0,93.0,632.0,10001821.0,2021,Al-Azy,420.0,34.798586530792804,31.721965766304628,"31.7220,34.7986",136241,11810,"Hof HaCarmel Regional Council, Israel","El Ghazi A, Al-'Azi, Israel",121872.82206324874,transit,37.150055836384034,0.8945385167699058
אל -עריאן,1316,AL-ARYAN,3,חיפה,32,חדרה,323.0,14.0,מועצה אזורית מנשה,,2.0,191.0,0.0,0.0,191.0,,450,,2120271154.0,364.0,351.0,10004233.0,2021,Al-Aryan,,35.12531446382805,32.4979490879108,"32.4979,35.1253",59345,6455,"Hof HaCarmel Regional Council, Israel","1, Al-Arian, Israel",35688.01474211303,transit,19.903462908072335,0.6013651485738146
אל -רום,4003,EL-ROM,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,442.0,442.0,419.0,0.0,1971,330,15.0,2723278740.0,1049.0,219.0,10004579.0,2021,El-Rom,211.0,35.771258986645925,33.1807049022046,"33.1807,35.7713",149750,10240,"Hof HaCarmel Regional Council, Israel",طريق بدون اسم، الروم,82568.4935227107,transit,29.027986004077984,0.551375582789387
אלומות,330,ALUMMOT,2,הצפון,22,כנרת,221.0,6.0,מועצה אזורית עמק הירדן,,1.0,436.0,435.0,426.0,1.0,1941,330,15.0,2515173475.0,30.0,214.0,10004552.0,2021,Alummot,214.0,35.546301617028206,32.706797930598405,"32.7068,35.5463",86118,7880,"Hof HaCarmel Regional Council, Israel","242, Alumot, Israel",51413.21446448721,transit,23.488270567532226,0.5970089233898512
אלוני הבשן,4017,ALLONE HABASHAN,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,472.0,472.0,472.0,0.0,1981,320,2.0,2787077224.0,956.0,219.0,10004579.0,2021,Allone HaBashan,211.0,35.838680540236766,33.04369293917159,"33.0437,35.8387",152471,12077,"Hof HaCarmel Regional Council, Israel","Alone Habashan/Center, Alonei Habashan",81944.77931693998,transit,24.426695830171727,0.5374450178521816
אלוני יצחק,868,ALLONE YIZHAQ,3,חיפה,32,חדרה,324.0,14.0,מועצה אזורית מנשה,,1.0,305.0,302.0,218.0,3.0,1949,340,,2006271295.0,69.0,351.0,10004333.0,2021,Allone Yizhaq,,35.00398436568514,32.51052880551579,"32.5105,35.0040",28664,5431,"Hof HaCarmel Regional Council, Israel","6522 38, Binyamina-Giv'at Ada, Israel",32580.175846078055,transit,21.596139393459953,1.1366234944905824
אלונים,285,ALLONIM,2,הצפון,23,יזרעאל,235.0,9.0,מועצה אזורית עמק יזרעאל,242.0,1.0,548.0,548.0,535.0,0.0,1938,330,15.0,2139173611.0,104.0,254.0,10004411.0,2021,Allonim,213.0,35.145279712878924,32.71951321755785,"32.7195,35.1453",38754,4795,"Hof HaCarmel Regional Council, Israel","Unnamed Road, Alonim, Israel",15824.052007372802,transit,11.880414437235055,0.4083204832371575
אלי-עד,4002,ELI-AD,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,484.0,484.0,466.0,0.0,1968,310,1.0,2691474572.0,368.0,219.0,10004579.0,2021,Eli-Ad,211.0,35.73491036387835,32.80505682859691,"32.8051,35.7349",162153,11336,"Hof HaCarmel Regional Council, Israel","Office, Eliad",67876.33017834426,transit,21.555644728479123,0.4185943533474204
אליאב,1365,ELIAV,6,הדרום,61,אשקלון,612.0,50.0,מועצה אזורית לכיש,,1.0,691.0,691.0,691.0,0.0,2013,370,,1934260408.0,361.0,634.0,10001813.0,2021,Eliav,,34.93030105327567,31.528597896551354,"31.5286,34.9303",185869,11706,"Hof HaCarmel Regional Council, Israel","HaEshel St 2, Eliav, Israel",141954.72716429023,transit,43.65598990188321,0.7637353575060405
אליפז,1248,ELIFAZ,6,הדרום,62,באר שבע,625.0,53.0,מועצה אזורית חבל אילות,,1.0,166.0,160.0,141.0,6.0,1982,330,15.0,2007841187.0,123.0,608.0,10001955.0,2021,Elifaz,610.0,35.0112729114922,29.79502128133189,"29.7950,35.0113",396301,24585,"Hof HaCarmel Regional Council, Israel","Unnamed Road, Elifaz, Israel",334527.9767870343,transit,48.98518268998672,0.8441259971260086
אליפלט,730,ELIFELET,2,הצפון,21,צפת,213.0,55.0,מועצה אזורית מבואות החרמון,,1.0,695.0,695.0,688.0,0.0,1949,310,1.0,2515276149.0,333.0,253.0,10004540.0,2021,Elifelet,211.0,35.54733358454795,32.947905509849186,"32.9479,35.5473",96661,6628,"Hof HaCarmel Regional Council, Israel","104, Elifelet, Israel",52804.8010176795,transit,28.68094201322363,0.5462885860655228
אליקים,682,ELYAQIM,2,הצפון,23,יזרעאל,236.0,13.0,מועצה אזורית מגידו,,1.0,968.0,967.0,934.0,1.0,1949,310,1.0,2065872642.0,228.0,254.0,10004411.0,2021,Elyaqim,213.0,35.06722590548302,32.63207624911627,"32.6321,35.0672",26019,3537,"Hof HaCarmel Regional Council, Israel","Elyakim Center, Eliakim, Israel",19833.36555196026,transit,20.186631605048614,0.7622647124009478
אלישיב,204,ELYASHIV,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,716.0,716.0,705.0,0.0,1933,310,7.0,1917069855.0,18.0,409.0,15000060.0,2021,Elyashiv,,34.90948155993732,32.38049209564051,"32.3805,34.9095",36642,2988,"Hof HaCarmel Regional Council, Israel","HaTe'ena St 5, Elyashiv, Israel",47945.71310511469,transit,57.76591940375265,1.3084906147348587
אלמגור,1125,ALMAGOR,2,הצפון,22,כנרת,221.0,6.0,מועצה אזורית עמק הירדן,,1.0,423.0,423.0,404.0,0.0,1961,310,1.0,2566875753.0,-24.0,214.0,10004552.0,2021,Almagor,214.0,35.6023542072602,32.91203636019277,"32.9120,35.6024",116030,7699,"Hof HaCarmel Regional Council, Israel","4, Almagor, Israel",56751.76956304104,transit,26.536741190667325,0.4891128980698185
אלמוג,3556,ALMOG,7,אזור יהודה ושומרון,75,ירדן-יריחו,,74.0,מועצה אזורית מגילות ים המלח,,1.0,256.0,256.0,249.0,0.0,1977,330,15.0,2437863294.0,-278.0,713.0,10003314.0,2021,Almog,710.0,35.46126266975576,31.78890864038124,"31.7889,35.4613",173849,11199,"Hof HaCarmel Regional Council, Israel","Almog/Swimming Pool, Almog",120571.29732460134,transit,38.75852043651798,0.6935403558525004
אלקוש,603,ELQOSH,2,הצפון,24,עכו,244.0,52.0,מועצה אזורית מעלה יוסף,,1.0,279.0,279.0,278.0,0.0,1949,310,1.0,2306077091.0,636.0,255.0,10004484.0,2021,Elqosh,212.0,35.323727933283514,33.033256124265954,"33.0333,35.3237",86369,9004,"Hof HaCarmel Regional Council, Israel","86, Elkosh, Israel",38955.331425508855,transit,15.57521025453486,0.45103372072744685
אמירים,1064,AMIRIM,2,הצפון,21,צפת,212.0,2.0,מועצה אזורית מרום הגליל,,1.0,871.0,871.0,816.0,0.0,1950,310,1.0,2425676027.0,543.0,209.0,10004528.0,2021,Amirim,211.0,35.45148472403403,32.93713142577303,"32.9371,35.4515",98728,7950,"Hof HaCarmel Regional Council, Israel","Mitzpeh Menakhem St 69, Amirim, Israel",43944.15382264121,transit,19.899239466856397,0.44510325158659353
אמנון,1253,AMNUN,2,הצפון,21,צפת,213.0,55.0,מועצה אזורית מבואות החרמון,,1.0,455.0,455.0,441.0,0.0,1983,310,6.0,2537975663.0,10.0,253.0,10004540.0,2021,Amnun,211.0,35.57142782772897,32.904015933775796,"32.9040,35.5714",104515,6850,"Hof HaCarmel Regional Council, Israel","Ha-Dekel St 25, Amnun, Israel",53742.43573300782,transit,28.24419980128878,0.5142078719131974
אמציה,23,AMAZYA,6,הדרום,61,אשקלון,612.0,50.0,מועצה אזורית לכיש,,1.0,219.0,215.0,215.0,4.0,1955,320,9.0,1918460450.0,360.0,634.0,10001813.0,2021,Amazya,,34.913653489244204,31.532349000529923,"31.5323,34.9137",185625,11615,"Hof HaCarmel Regional Council, Israel","48, Amatzia, Israel",141628.48058534972,transit,43.89690315172269,0.7629817135911097
אניעם,4012,ANI'AM,2,הצפון,29,גולן,293.0,71.0,מועצה אזורית גולן,,1.0,502.0,502.0,490.0,0.0,1978,310,1.0,2695476260.0,425.0,219.0,10004579.0,2021,Ani'am,211.0,35.74009576008942,32.95723614762569,"32.9572,35.7401",132207,9695,"Hof HaCarmel Regional Council, Israel","Ani'am, Ani'am",70408.78734735206,transit,26.14457291907864,0.5325647457952458
אפיק,4301,AFIQ,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,356.0,356.0,315.0,0.0,1967,330,15.0,2660674275.0,339.0,219.0,10004579.0,2021,Afiq,211.0,35.70187741252295,32.77841245925471,"32.7784,35.7019",122674,10143,"Hof HaCarmel Regional Council, Israel","Afik, Afik",64858.53377037745,transit,23.0198877623345,0.5287064395909276
אפק,313,AFEQ,2,הצפון,24,עכו,246.0,4.0,מועצה אזורית מטה אשר,241.0,1.0,762.0,754.0,747.0,8.0,1939,330,15.0,2122974931.0,24.0,201.0,10004207.0,2021,Afeq,212.0,35.12789773083132,32.838527904799456,"32.8385,35.1279",35897,4785,"Hof HaCarmel Regional Council, Israel","00000, Afek, Israel",11802.474054129445,transit,8.879604304047232,0.32878719820958424
ארבל,701,ARBEL,2,הצפון,22,כנרת,222.0,3.0,מועצה אזורית הגליל התחתון,,1.0,766.0,766.0,754.0,0.0,1949,310,1.0,2456474646.0,46.0,206.0,10004552.0,2021,Arbel,214.0,35.484027123695796,32.8125408724321,"32.8125,35.4840",86613,7892,"Hof HaCarmel Regional Council, Israel","38, Arbel, Israel",44437.591205840115,transit,20.270568720352816,0.513059138995764
ארגמן,3598,ARGAMAN,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75.0,מועצה אזורית ערבות הירדן,,1.0,133.0,133.0,132.0,0.0,1968,310,9.0,2495167550.0,-181.0,712.0,10003299.0,2021,Argaman,710.0,35.523086066419594,32.17257763301639,"32.1726,35.5231",232262,14367,"Hof HaCarmel Regional Council, Israel","50, Argaman",85145.32977278304,transit,21.3352256686865,0.36659173593951244
ארז,714,EREZ,6,הדרום,61,אשקלון,614.0,37.0,מועצה אזורית שער הנגב,,1.0,609.0,609.0,591.0,0.0,1949,330,15.0,1588860773.0,41.0,651.0,10001829.0,2021,Erez,620.0,34.56641517945029,31.560218106381832,"31.5602,34.5664",143112,13019,"Hof HaCarmel Regional Council, Israel","Erez/Center, Erez, Israel",144375.79275149922,transit,39.92264028768701,1.0088307951219968
ארסוף,1324,ARSUF,4,המרכז,41,השרון,411.0,19.0,מועצה אזורית חוף השרון,141.0,1.0,174.0,174.0,155.0,0.0,1995,350,,1828768007.0,39.0,401.0,15000060.0,2021,Arsuf,,34.816359635382256,32.21359495935878,"32.2136,34.8164",59811,5983,"Hof HaCarmel Regional Council, Israel","Almog St 18, Arsuf, Israel",68028.37610693734,transit,40.93300250459209,1.1373890439373584
אשבול,71,ESHBOL,6,הדרום,62,באר שבע,621.0,42.0,מועצה אזורית מרחבים,,1.0,630.0,630.0,626.0,0.0,1955,310,1.0,1682759518.0,168.0,651.0,10001930.0,2021,Eshbol,620.0,34.665961202836286,31.447492491125928,"31.4475,34.6660",186915,14507,"Hof HaCarmel Regional Council, Israel","54, Eshbol, Israel",154196.16524315363,transit,38.26471323329104,0.8249534025795342
אשבל,1276,ESHBAL,2,הצפון,24,עכו,241.0,56.0,מועצה אזורית משגב,241.0,1.0,140.0,139.0,138.0,1.0,1979,330,10.0,2288975354.0,269.0,205.0,10004513.0,2021,Eshbal,210.0,35.30524539216885,32.87665199634069,"32.8767,35.3052",,,"Hof HaCarmel Regional Council, Israel","32.8767,35.3052",28876.81844689989,transit,,
